WEAPON,CATEGORY,DESCRIPTION
FAMAS,Rifles,"Price: $2050 Damage: 30 Description: The FAMAS is the cheapest, lowest-recoil CT rifle and has a three-round burst firing option that increases its accuracy and damage per second for longer-range encounters. However, it has low damage and accuracy overall for a rifle."
AK-47,Rifles,"Price: $2700 Damage: 36 Description: Arguably the most popular weapon used in CS:GO, the AK-47 is beloved for its sniper-esque first-shot accuracy, one-hit headshot kill capability, and low price. However, it has poor full-auto accuracy and a somewhat slow rate of fire."
M4A4,Rifles,"Price: $3100  Damage: 33 Description: The M4A4 is the main rival of the Terrorists' AK-47, having lower recoil and much higher accuracy. However, it is unable to deal one-hit kills and is more expensive than its Terrorist counterpart."
M4A1-S,Rifles,"Price: $3100  Damage: 33 Description: Added in the 2013 update that also introduced the USP-S, the M4A1-S is an alternative to the M4A4 that features a quieter firing sound and slightly higher accuracy. However, it fires slower and has 10 fewer bullets per magazine."
SG 553,Rifles,"Price: $3000 Damage: 30 Description: The SG 553 is the scoped assault rifle alternative to the AK-47, dealing even higher damage per shot and ignoring armor on enemies. However, it has high recoil and slow movement speed while active."
AUG,Rifles,"Price: $3300  Damage: 28 Description: With a scope to increase long-range accuracy and lethality, the AUG has a high fire rate and relatively good accuracy. However, it is the most expensive rifle and deals lower damage compared to other rifles."
SSG 08,Sniper Rifles,"Price: $1700 Damage: 88 Description: The bolt-action SSG 08 is an extremely cheap and accurate weapon that can kill instantly with headshots and has a very low weight. However, its rate of fire is very poor, and it deals the lowest damage of all sniper rifles."
AWP,Sniper Rifles,"Price: $4750 Damage: 115 Description: Without a doubt, the most infamous weapon of the Counter-Strike series, the AWP can kill armored opponents instantly above the legs and possesses high scoped accuracy. However, it has a slow rate of fire, weighs a ton, and costs a fortune."
G3SG1,Sniper Rifles,"Price: $5000 Damage: 80 Description: The G3SG1 is the Terrorists' automatic sniper rifle that can deal substantial damage at range and fire relatively quickly. However, it is even more expensive than the AWP, slows down user movement speed dramatically, and takes ages to reload."
SCAR-20,Sniper Rifles,"Price: $5000 Damage: 80 Description: A defense-oriented weapon, the CT-exclusive SCAR-20 shares the high damage and fire rate of automatic sniper rifles. However, it isn't anywhere close to cheap to buy and slows"
M249,Machine Guns,"Price: $5200 Damage: 32 Description: The M249 is a bullet-spewing machine, having the second highest rate of fire of all weapons in the game, as well as a 100-round magazine and 200 rounds in reserve. However, it has very high recoil and is both very heavy and expensive."
Negev,Machine Guns,"Price: $1700 Damage: 35 Description: The fire-rate king of all CS:GO weapons, the Negev boasts a massive 150-round drum and can rip enemies at close range to shreds. However, it has crippling recoil, an astronomical price tag, and a very heavy weight."
Decoy Grenade,Grenades,"Price: $50 Damage: N/A (Doesn't cause direct damage) Description: This cheap, flashbang look-alike, when thrown, emulates the firing sounds of the thrower's most powerful weapon and shows the grenade's position as a player on the mini-map to both teams."
Flashbang,Grenades,"Price: $200 Damage: N/A (Doesn't cause direct damage) Description: The flashbang grenade is a potential game-changer, blinding nearby players that have it in sight when it explodes and can deliver an element of surprise to almost any attack."
HE Grenade,Grenades,"Price: $300 Damage: 100 (maximum) Description: The HE grenade is the definition of portable, throwable explosive weaponry. It deals a good amount of damage within a fairly large radius, perfect for finishing off wounded enemies from a safe distance."
Molotov,Grenades,"Price: $400  Damage: 40 per second Description: The molotov grenade, like the flashbang, is extremely beneficial in expert hands. It emits a thick cloud of gray smoke for an extended period of time, extinguishing firebombs and obstructing views for sneak attacks."
Incendiary,Grenades,"Price: $600 Damage: 40 per second Description: The incendiary grenade, also known as the molotov, isn't exactly a technological marvel, but it's extremely effective at covering a relatively large area with deadly flames that slow down opponents running through them."
Smoke Grenade,Grenades,Price: $300 Damage: N/A (Doesn't cause direct damage) Description: The smoke grenade is the more expensive yet slightly more armor-damaging counterpart of the Terrorists' molotov. It is equally capable when it comes to flame-spreading area denial.
Knife,Other Equipment,"Price: Free (comes with each spawn) Damage: 40 (primary attack), 90 (secondary attack) Description: The knife is a quiet, last-resort close-ranged weapon. It has a high-speed, low-damage primary attack and a low-speed, high-damage secondary attack, and can kill instantly with a backstab."
Zeus X27,Other Equipment,"Price: $200 Damage: Instant kill (within range, one-time use) Description: Essentially a slightly longer-ranged version of the knife, the Zeus X27 is an instant kill on any part of the target's body, as long as they are within its very small range"
