WEAPON,CATEGORY,DESCRIPTION,
AUG,Rifles,"With a scope to increase long-range accuracy and lethality, the AUG has a high fire rate and relatively good accuracy, but is the most expensive rifle and deals lower damage compared to other rifles.",
SSG 08,Sniper Rifles,"The bolt-action SSG 08 is an extremely cheap and accurate weapon that can kill instantly with headshots and has a very low weight, but its rate of fire is very poor and it deals the lowest damage of all sniper rifles.",
AWP,Sniper Rifles,"Without a doubt the most infamous weapon of the Counter-Strike series, the AWP can kill armored opponents instantly above the legs and possesses high scoped accuracy, but it has a slow rate of fire, weighs a ton, and costs a fortune.",
G3SG1,Sniper Rifles,"The G3SG1 is the Terrorists' automatic sniper rifle that can deal substantial damage at range and fire relatively quickly, but is even more expensive than the AWP, slows down user movement speed dramatically, and takes ages to reload.",
SCAR-20,Sniper Rifles,"A defense-oriented weapon, the CT-exclusive SCAR-20 shares the high damage and fire rate of automatic sniper rifles, but isn't anywhere close to cheap to buy and slows the player's movement speed to a crawl.",
M249,Machine Guns,"The M249 is a bullet-spewing machine, having the second highest rate of fire of all weapons in the game, as well as a 100-round magazine and 200 rounds in reserve, but it has very high recoil and is both very heavy and expensive.",
Negev,Machine Guns,"The fire-rate king of all of the CS:GO weapons, the Negev boasts a massive 150-round drum and can rip enemies at close range to shreds, but has crippling recoil, an astronomical price tag, and a very heavy weight.",
Decoy Grenade,Grenades,"This cheap, flashbang look-alike, when thrown, emulates the firing sounds of the thrower's most powerful weapon, and shows the grenade's position as a player on the mini-map to both teams.",
Flashbang,Grenades,"The flashbang grenade is a potential game-changer, blinding nearby players that have it in sight when it explodes, and can deliver an element of surprise to almost any attack.",
HE Grenade,Grenades,"The definition of portable, throwable explosive weaponry, the HE grenade deals a good amount of damage within a fairly large radius, perfect for finishing off wounded enemies from a safe distance.",
Molotov,Grenades,"The smoke grenade, like the flashbang, is extremely beneficial in expert hands; it emits a thick cloud of gray smoke for an extended period of time, extinguishing firebombs and obstructing views for sneak attacks.",
Incendiary,Grenades,"The molotov isn't exactly a technological marvel, but it's extremely effective at covering a relatively large area with deadly flames that slow down opponents running through them.",
Smoke Grenade,Grenades,"The more expensive yet slightly more armor-damaging counterpart of the Terrorists' molotov, the incendiary grenade is equally capable when it comes to flame-spreading area denial.",
Knife,Other Equipment,,"Free with each spawn and unable to be dropped, the knife is a quiet, last-resort close-ranged weapon. It has a high-speed, low-damage primary attack and a low-speed, high-damage secondary attack, and can kill instantly with a backstab."
Zeus X27,Other Equipment,,"Essentially a slightly longer-ranged version of the knife, the Zeus is an instant kill on any part of the target's body, as long as they are within its very small range and the weapon's only shot hasn't been used yet."
